formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
(Li0.5Ce0.5)MoO4	2000	0.08	0.08	0.17	0.67	8	8	4	2	0.92	1.143	0.59	1.35	9.1	10.35	4.08	0.54	3.01	3	3.9	7.54	1.96	219	163	36.6	6.941	140.115	95.94	15.999	4.9	33.5	324.8	0	2.93	8.9	28	0.444	20.6
La6Mg0.913Ti4.04O18	31000	0.21	0.03	0.14	0.62	12	6	6	2	1.36	0.72	0.605	1.35	8.68	3.18	4.49	0.54	3.1	8.3	3.45	7.54	202	121	571	36.6	138.906	24.305	47.88	15.999	37.9	44.7	120.2	0	10	8.9	18.8	0.444	32
Sr2CoSi2O7	34000	0.17	0.08	0.17	0.58	8	4	4	2	1.26	0.58	0.4	1.35	7.6	3.01	2.19	0.54	2	4.3	4.77	7.54	373	125	189	36.6	87.62	58.933	28.086	15.999	15.7	211	113	0	8.2	16.3	50.6	0.444	8.9
Mg3Dy4Al44O75	28000	0.02	0.03	0.35	0.6	6	6	6	2	0.72	1.052	0.535	1.35	3.18	7.74	5.23	0.54	8.3	3.2	3.23	7.54	121	344	152	36.6	24.305	162.5	26.982	15.999	44.7	61.4	70.6	0	8.9	17.2	10.5	0.444	10.3
Ba(Tb0.5Ta0.5)O3	28200	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.063	7.81	1.35	11.07	7.91	2.47	0.54	2.4	3.2	4.11	7.54	461	329	444	36.6	137.327	158.925	180.948	15.999	12.8	55.7	185.7	0	7.8	16.3	24.7	0.444	28
SmTiNbO6	18000	0.11	0.11	0.11	0.67	6	6	6	2	0.958	0.605	0.64	1.35	8.62	4.49	4.45	0.54	3.1	3.45	4	7.54	284	571	441	36.6	150.36	47.88	92.906	15.999	49.7	120.2	104.9	0	10.9	18.8	26.8	0.444	45
SrY4Si3O13	20500	0.05	0.19	0.14	0.62	9	8	4	2	0.131	1.019	0.26	1.35	7.6	5.57	2.19	0.54	2	3.19	4.77	7.54	373	396	189	36.6	87.62	88.906	28.086	15.999	15.7	66.3	113	0	8.2	11.5	50.6	0.444	12.6
Ba(Sm0.5Ta0.5)O3	27000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.098	7.81	1.35	11.07	8.62	2.47	0.54	2.4	3.1	4.11	7.54	461	284	444	36.6	137.327	150.36	180.948	15.999	12.8	49.7	185.7	0	7.8	10.9	24.7	0.444	34.3
(Sm0.5Na0.5Ti)O3	13000	0.1	0.1	0.2	0.6	12	12	6	2	1.16	1.24	0.605	1.35	11.8	8.62	4.49	0.54	2.85	3.1	3.45	7.54	95.3	284	571	36.6	22.99	150.36	47.88	15.999	6.8	49.7	120.2	0	2.64	10.9	18.8	0.444	80
Ba(Nd0.5Nb0.5)O3	15000	0.2	0.1	0.1	0.6	12	6	6	2	1.24	1.123	10.42	1.35	11.07	9.38	4.45	0.54	2.4	3	4	7.54	461	252	441	36.6	137.327	144.24	92.906	15.999	12.8	41.4	104.9	0	7.8	7.1	26.8	0.444	41.9
